City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,arraial do cabo,-22.9661,-42.0278,31.980000000000018,55,0,4.63,BR,1675698118
67,upernavik,72.7868,-56.1549,-23.68999999999997,93,100,4.64,GL,1675698119
68,busselton,-33.65,115.3333,18.600000000000023,86,18,5.91,AU,1675698119
69,ghugus,19.9333,79.1333,24.640000000000043,21,0,0.72,IN,1675698119
70,ushuaia,-54.8,-68.3,12.810000000000002,58,75,4.12,AR,1675698120
71,narsaq,60.9167,-46.05,-12.879999999999995,69,58,3.35,GL,1675698120
72,barinas,8.6226,-70.2075,31.58000000000004,37,86,3.65,VE,1675698120
73,thompson,55.7435,-97.8558,-8.909999999999968,92,100,1.54,CA,1675697923
74,san luis rio colorado,32.4631,-114.7767,11.610000000000014,54,0,6.45,MX,1675697924
75,mahebourg,-20.4081,57.7,27.360000000000014,83,75,3.09,MU,1675698121
76,kamaishi,39.2667,141.8833,2.990000000000009,86,99,2.56,JP,1675698121
77,okhotsk,59.3833,143.3,-23.379999999999967,80,98,4.93,RU,1675698121
78,hami,42.8,93.45,0.3100000000000023,42,98,1.67,CN,1675698122
79,lagoa,39.05,-27.9833,13.850000000000023,71,86,13.43,PT,1675698123
80,norman wells,65.282,-126.8329,-24.97999999999999,77,75,2.06,CA,1675698123
81,san quintin,30.4833,-115.95,12.82000000000005,70,52,9.11,MX,1675698124
82,cidreira,-30.1811,-50.2056,27.02000000000004,60,20,4.75,BR,1675698125
83,kalmunai,7.4167,81.8167,24.420000000000016,91,77,2.72,LK,1675698126
84,dong hoi,17.4833,106.6,21.689999999999998,96,75,2.86,VN,1675698127
85,sitka,57.0531,-135.33,1.9399999999999977,93,75,3.09,US,1675698128
86,hithadhoo,-0.6,73.0833,27.590000000000032,68,41,4.56,MV,1675698128
87,codrington,-38.2667,141.9667,13.660000000000025,87,6,2.68,AU,1675698129
88,ehingen,48.2826,9.7275,0.57000000000005,85,75,1.79,DE,1675698129
89,ormara,25.2088,64.6357,22.890000000000043,58,0,4.97,PK,1675698130
90,kununurra,-15.7667,128.7333,23.99000000000001,83,13,0.0,AU,1675698131
91,priladozhskiy,59.85,31.4833,-2.4799999999999613,1,98,2.81,RU,1675698131
92,bredasdorp,-34.5322,20.0403,23.560000000000002,77,85,6.76,ZA,1675698132
93,windhoek,-22.5594,17.0832,25.110000000000014,59,75,3.6,NA,1675698126
94,lebu,-37.6167,-73.65,18.25,71,4,7.79,CL,1675697888
95,dikson,73.5069,80.5464,-20.96999999999997,99,100,0.7,RU,1675698143
96,meulaboh,4.1363,96.1285,23.79000000000002,91,100,2.69,ID,1675698144
97,faya,18.3851,42.4509,19.060000000000002,57,47,2.84,SA,1675698144
98,puerto escondido,15.85,-97.0667,25.460000000000036,88,0,3.09,MX,1675697972
99,kropotkin,45.4375,40.5756,0.020000000000038654,64,100,8.6,RU,1675698036
100,atuona,-9.8,-139.0333,25.730000000000018,72,47,7.76,PF,1675698145
101,derzhavinsk,51.1,66.3167,-13.439999999999998,96,96,3.66,KZ,1675698145
102,khatanga,71.9667,102.5,-40.26999999999998,100,38,1.85,RU,1675698145
103,forestville,38.8451,-76.875,11.870000000000005,52,40,8.23,US,1675698146
104,ulladulla,-35.35,150.4667,19.140000000000043,94,100,2.63,AU,1675698146
105,dale city,38.6371,-77.3111,12.200000000000045,49,0,7.2,US,1675698146
106,aberystwyth,52.4155,-4.0829,8.270000000000039,77,46,2.54,GB,1675698147
107,baruun-urt,46.6806,113.2792,-19.879999999999967,86,100,1.34,MN,1675698147
108,acapulco,16.8634,-99.8901,24.900000000000034,78,0,1.54,MX,1675697877
109,havelock,34.8791,-76.9013,13.32000000000005,68,0,7.72,US,1675698147
110,longyearbyen,78.2186,15.6401,-0.08999999999997499,100,100,11.83,SJ,1675698148
111,calabozo,8.9242,-67.4293,32.03000000000003,37,85,4.64,VE,1675698148
112,lavrentiya,65.5833,-171.0,-28.029999999999973,91,49,2.51,RU,1675698148
113,kachiry,53.0675,76.1036,-21.379999999999967,100,84,2.27,KZ,1675698149
114,fort nelson,58.8053,-122.7002,-16.139999999999986,89,100,1.03,CA,1675698149
115,shihezi,44.3,86.0333,-8.5,91,100,1.34,CN,1675698149
116,saldanha,-33.0117,17.9442,27.03000000000003,86,47,6.19,ZA,1675698150
117,sangar,63.9242,127.4739,-46.059999999999974,100,75,0.67,RU,1675698150
118,flin flon,54.7682,-101.865,-2.089999999999975,86,100,5.14,CA,1675698150
119,genc,38.7507,40.5603,4.2000000000000455,75,100,3.6,TR,1675698151
120,bethel,41.3712,-73.414,9.450000000000045,59,0,2.57,US,1675698151
121,baiyin,36.5583,104.2081,-1.599999999999966,37,12,1.32,CN,1675698151
122,rio grande,-32.035,-52.0986,33.06,54,0,3.4,BR,1675698152
123,karratha,-20.7377,116.8463,30.670000000000016,62,0,4.61,AU,1675698152
124,castro,-24.7911,-50.0119,25.439999999999998,51,59,2.98,BR,1675698152
125,gat,31.61,34.7642,12.660000000000025,8,100,10.47,IL,1675697881
126,acari,-15.4311,-74.6158,26.620000000000005,76,79,3.91,PE,1675698153
127,catio,11.2833,-15.25,35.23000000000002,16,70,1.88,GW,1675698153
128,lively,46.4334,-81.1498,-13.319999999999993,81,7,1.24,CA,1675698154
129,krapivinskiy,54.9992,86.8133,-21.639999999999986,100,93,1.19,RU,1675698154
130,guerrero negro,27.9769,-114.0611,14.800000000000011,69,68,10.49,MX,1675698145
131,dudinka,69.4058,86.1778,-21.71999999999997,99,99,2.66,RU,1675698154
132,pochutla,15.7432,-96.4661,26.900000000000034,47,0,2.21,MX,1675698155
133,ponta do sol,32.6667,-17.1,18.400000000000034,45,5,2.98,PT,1675698155
134,mossendjo,-2.9506,12.7261,27.07000000000005,67,28,1.87,CG,1675698155
135,tiksi,71.6872,128.8694,-34.619999999999976,100,88,2.21,RU,1675698155
136,kahramanmaras,38.0,37.0,-1.2099999999999795,95,100,3.05,TR,1675698156
137,cordele,31.9635,-83.7824,17.470000000000027,62,0,2.06,US,1675698156
138,palmer,42.1584,-72.3287,9.060000000000002,61,100,0.89,US,1675698156
139,provideniya,64.3833,-173.3,-22.45999999999998,97,76,0.86,RU,1675698157
140,chuy,-33.6971,-53.4616,29.379999999999995,38,31,1.6,UY,1675698157
141,qaqortoq,60.7167,-46.0333,-15.599999999999966,70,84,2.89,GL,1675698157
142,kapaa,22.0752,-159.319,21.170000000000016,94,16,5.77,US,1675698158
143,saint george,37.1041,-113.5841,-0.6699999999999591,100,0,1.54,US,1675697801
144,praya,14.9215,-23.5087,24.30000000000001,43,75,12.35,CV,1675698158
